full_part_number,section,subsection,position_details
1512211,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(2): 0.76 µm (30µ"") | Pos6(2): #4-40 UNC screwlock installed | Pos7(1): With boardlock | Pos8(1): Tin over nickel"
1512401,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(2): 0.76 µm (30µ"") | Pos6(4): M3 threaded hole | Pos7(0): Without boardlock | Pos8(1): Tin over nickel"
1512411,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(2): 0.76 µm (30µ"") | Pos6(4): M3 threaded hole | Pos7(1): With boardlock | Pos8(1): Tin over nickel"
1512501,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(2): 0.76 µm (30µ"") | Pos6(5): M3 screwlock installed | Pos7(0): Without boardlock | Pos8(1): Tin over nickel"
1512511,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(2): 0.76 µm (30µ"") | Pos6(5): M3 screwlock installed | Pos7(1): With boardlock | Pos8(1): Tin over nickel"
1520001,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(2): Socket | Pos5(0): Gold flash | Pos6(0): 3.10mm clear hole | Pos7(0): Without boardlock | Pos8(1): Tin over nickel
1520011,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(2): Socket | Pos5(0): Gold flash | Pos6(0): 3.10mm clear hole | Pos7(1): With boardlock | Pos8(1): Tin over nickel
1520101,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(2): Socket | Pos5(0): Gold flash | Pos6(1): #4-40 threaded hole | Pos7(0): Without boardlock | Pos8(1): Tin over nickel
1520111,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(2): Socket | Pos5(0): Gold flash | Pos6(1): #4-40 threaded hole | Pos7(1): With boardlock | Pos8(1): Tin over nickel
1520201,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(2): Socket | Pos5(0): Gold flash | Pos6(2): #4-40 UNC screwlock installed | Pos7(0): Without boardlock | Pos8(1): Tin over nickel
1520211,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(2): Socket | Pos5(0): Gold flash | Pos6(2): #4-40 UNC screwlock installed | Pos7(1): With boardlock | Pos8(1): Tin over nickel
1520401,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(2): Socket | Pos5(0): Gold flash | Pos6(4): M3 threaded hole | Pos7(0): Without boardlock | Pos8(1): Tin over nickel
1520411,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(2): Socket | Pos5(0): Gold flash | Pos6(4): M3 threaded hole | Pos7(1): With boardlock | Pos8(1): Tin over nickel
1520501,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(2): Socket | Pos5(0): Gold flash | Pos6(5): M3 screwlock installed | Pos7(0): Without boardlock | Pos8(1): Tin over nickel
1520511,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(2): Socket | Pos5(0): Gold flash | Pos6(5): M3 screwlock installed | Pos7(1): With boardlock | Pos8(1): Tin over nickel
1521001,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(2): Socket | Pos5(1): 0.4 µm (15µ"") | Pos6(0): 3.10mm clear hole | Pos7(0): Without boardlock | Pos8(1): Tin over nickel"
1521011,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(2): Socket | Pos5(1): 0.4 µm (15µ"") | Pos6(0): 3.10mm clear hole | Pos7(1): With boardlock | Pos8(1): Tin over nickel"
1521101,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(2): Socket | Pos5(1): 0.4 µm (15µ"") | Pos6(1): #4-40 threaded hole | Pos7(0): Without boardlock | Pos8(1): Tin over nickel"
